row,thread_id,group,title,comment_count,comment_id,comment_rank,comment_timestamp,comment_user,comment_text,comment_authors,comment_works,solved,answer,librarything_id,notes
30,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-6,6,"Apr 24, 2010, 2:04am",jschuur,"Having just re-read Isaac Asimov's The Last Question and The Last Answer again, I was reminded about this short story that I still haven't been able to track down. I thought I'd revive this thread in the hopes that someone might recognize it. I remember reading it in the late 80ies or early 90ies, but it's probably older than that. I recently discovered that Arthur C. Clarke also wrote a story called Let there be Light, as did Robert A. Heinlein, but neither are it. In fact, I think it would have ruined the element of surprise if the story were actually called 'Let There Be Light', so it must have had a different title. I used to read a lot of Robert Sheckley around that time, but the story sounds like it would lack his trademark absurdly comical style.",sheckleyrobert|asimovisaac|clarkearthurcclarke|heinleinroberta,4999437|4342660|1197915,,,,
31,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-7,7,"Apr 24, 2010, 4:00pm",RobertDay,"By your description, it sounds like 'Sole solution' by Eric Frank Russell, originally published 1956 and widely anthologised since.",,,solved,Eric Frank Russell: Sole Solution,4591772,short fiction
32,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-8,8,"Apr 24, 2010, 5:05pm",myshelves,"#7 Thanks. I like Russell, but I'd never seen that one. (The text is online.)",,,,,,
33,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-9,9,"Apr 24, 2010, 5:55pm",RBeffa,I'm no help identifying this but I DO remember that story. Many years ago.,,,,,,
34,20772,Science Fiction Fans,Name this short story about the Big Bang,10,20772-10,10,"Apr 25, 2010, 12:38am",jschuur,"YES! Thank you, Robert. I just found it online and Sole Solution was indeed the story In was thinking of.",,,confirmed,,,
35,41717,Name that Book,"Lost literary fiction, recent",4,41717-1,1,"Jul 20, 2008, 7:21pm",kalexa,"I can't remember the name of a book I read very recently, probably published in the last few years. The protagonist was a girl who moves from Tasmania to New York, where she gets a job at a huge used books store called, I think, The Arcade. The rest of the book is a mystery concerning a lost work by a famous 19th century author, which one specifically I've forgotten. Please help?",,,,,,
36,41717,Name that Book,"Lost literary fiction, recent",4,41717-2,2,"Jul 20, 2008, 7:44pm",TadAD,The Secret of Lost Things by Sheridan Hay?,,1480366,solved,Sheridan Hay: The Secret of Lost Things,1480366,
37,41717,Name that Book,"Lost literary fiction, recent",4,41717-3,3,"Jul 20, 2008, 7:52pm",kalexa,Yes. Thank you very much.,,,confirmed,,,
38,41717,Name that Book,"Lost literary fiction, recent",4,41717-4,4,"Jul 21, 2008, 12:37pm",missylc,That sounds like a fun book!,,,,,,
39,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-1,1,"Sep 1, 2011, 1:38pm",Niko,"Sorry for the overly specific subject. :) I'm looking for recs of fantasies that have a central plot element of characters solving a mystery or just plain ""figuring things out"", as opposed to adventuring to defeat the bad guys or political maneuvering to make sure the right people gain/retain power. (Not that most books won't have a mix of those things, but I'd like the mystery-solving to be center stage.) As the subject mentions, I'm particularly looking for something that's not in the real world or a historical/pre-industrial time period. I've never been able to get into modern-day/urban fantasy, so the Dresden Files and that brand of supernatural detective stories just do not appeal to me at all. Some examples of the sort of thing I'd like to find: List of Seven (Mark Frost) / Death of the Necromancer (Martha Wells) / Lady in the Loch (Elizabeth Scarborough) - Stories set in Victorian(-ish) settings with strong investigative plot-threads. StarCrossed (Elizabeth C. Bunce) - A ""bottle"" sort of story, with characters all trapped together in a castle and our heroine figuring out everyone's secrets. Idylls of the Queen (Phyllis Ann Karr) - Arthurian murder mystery Also, as a related ""what was that book?"" question: A few years ago, I saw a book that I believe was a murder mystery set in a castle where the main character was the captain of the guard or somesuch who could see ghosts (or saw this particular ghost, anyway). Does that ring any bells? I feel like it popped up a lot on Amazon for a few months, but I didn't save it off anywhere...",,49795|9712527|51420|134074|147580,not KI,,,recommendations
40,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-2,2,"Sep 1, 2011, 2:05pm",majkia,off the top of my head: Elfland Midnight Riot Among Thieves The Affinity Bridge,,7952141|9023456|10697148|5895422,not KI,,,
41,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-3,3,"Sep 1, 2011, 2:30pm",saltmanz,"Glen Cook's Garrett, P.I. books are a series of hard-boiled detective novels set in a made-up fantasy land. They're like the inverse of the Dresden books.",,152733,not KI,,,
42,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-4,4,"Sep 1, 2011, 2:45pm",LShelby,Joel Rosenberg's D'Shai Susan Dexter's The Wizard's Shadow,,94815|74008,not KI,,,
43,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-5,5,"Sep 1, 2011, 3:12pm",SockMonkeyGirl,Ghosts in the Snow by Tamara Siler Jones,,61185,not KI,,,
44,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-6,6,"Sep 1, 2011, 3:55pm",lohengrin,"re #5: That book, and especially its sequels, is definitely in the ""mystery"" category, but they do get quite gory. Just FYI.",,,not KI,,,
45,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-7,7,"Sep 1, 2011, 4:17pm",sandstone78,"I would second Joel Rosenberg's D'Shai and sequel, it has a murder mystery that's set in a rigidly structured fantasy society where there are 52 different ""ways"" or professions and everyone has special talents in line with their profession (except, of course, our protagonist, who didn't inherit his family's acrobat skills). Fanuilh and sequels by Daniel Hood has an amateur detective in a fantasy setting- Liam, a traveler and former soldier etc, inherits the familiar of a wizard acquaintance and has to solve the mystery of the wizard's murder in the first one. Shade and Shadow by Francine Woodbury is an academic fantasy setting, the chairman of the modern magic department is murdered and the main character/prime suspect, antisocial professor Raoul, has to clear his name. Randall Garrett's Lord Darcy series (starts with Too Many Magicians and continues in a couple of volumes of short stories. This is a fantasy/alternate history Sherlock Holmes pastiche. Michael Kurland continued the series after Garrett's death. (As a side note, Glen Cook's aforementioned Garrett, P.I. is named in honor of Randall Garrett.) Simon Green's Hawk & Fisher are hardboiled fantasy detectives. They have some backstory in one of his earlier books, a more typical fantasy, Blue Moon Rising. Green's books can get a little violent, which isn't personally to my taste. The books Steven Brust's Vlad Taltos series (starting with Jhereg) often have some mystery elements to the plot, but they aren't the focus. It's been a while since I read it, but I seem to remember that Patricia Wrede's Mairelon the Magician and sequel had some mystery elements. These are a kind of alternate-history Regency London with magicians. I had a little bit of a problem keeping track of the secondary characters too (the names seemed all quite similar). I seem to remember Shariann Lewitt's First and Final Rites having some mystery elements too, but I couldn't get into it at all- the characters seemed flat and infodumpy.",rosenbergjoel|wredepatriciac|greensimonr|kurlandmichael|garrettrandall|bruststeven|woodburyfrancine|hooddaniel|lewittshariann,26461|40371|46737|94815|366815|24778|268917|757142|170713,not KI,,,
46,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-8,8,"Sep 1, 2011, 4:38pm",kmaziarz,Perhaps: New Amsterdam by Elizabeth Bear;  Anno Dracula by Kim Newman; The Somnambulist by Jonathan Barnes; The Strange Affair of Spring-Heeled Jack by Mark Hodder Guards! Guards! or Men at Arms by Terry Pratchett,pratchettterry|newmankim|hoddermark|barnesjonathan|bearelizabeth,48117|1044159|2174634|1044311|9930987|1833030,not KI,,,
47,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-9,9,"Sep 1, 2011, 4:53pm",jnwelch,"I haven't read your examples, and this may be too urban for you, but Zoo City by Lauren Beukes, set in Johannesburg, is very good.",,7461916|9811756,not KI,,,
48,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-10,10,"Sep 1, 2011, 6:28pm",AndreaKHost,"Point of Hopes by Melissa Scott. Strong mystery, wonderful worldbuilding.",,167595|35740,not KI,,,
49,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-11,11,"Sep 1, 2011, 6:31pm",kmaziarz,"@ Niko...could your ""what was that book"" request be Ghosts in the Snow by Tamara Siler Jones? Here is the description I was able to find... ""A mysterious killer is stalking and savagely murdering servant girls, leaving no clues behind nor any witnesses, except for the gruesome ghosts of the victims, apparitions that are only visible to Dubric Bryerly, head of security at Castle Faldorrah, who must resort to unconventional methods to stop the rampage, save lives, and protect the future of Faldorrah itself.""",jonestamarasiler,61185,not KI,,,
50,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-12,12,"Edited: Sep 2, 2011, 6:24pm",pwaites,"These were already mentioned in post eight, but the Watch arc by Terry Pratchett. The main characters are all watchmen and women in a large fantasy city. They are basically like normal detective or mystery novels but set in a fantasy world. There's seven of them, and a new one is coming out this fall. The first is Guards! Guards!",pratchettterry,1044159,not KI,,,
51,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-13,13,"Sep 1, 2011, 7:38pm",Aldrea_Alien,12: I think it's cause your Guards! Guards! needs a space.,,1044159,not KI,,,
52,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-14,14,"Sep 2, 2011, 11:24am",puddleshark,"The spirit lens by Carol Berg and Tea with the black dragon by r. a. macavoy might fit the bill. There's often an element of mystery in Barbara Hambly's works, as she writes suspense novels as well as fantasy. My favourite, Those who hunt the night, is ruled out as it has a Victorian setting, but Dog Wizard and The dark hand of magic are set in different worlds.",hamblybarbara|macavoyra|bergcarol,99068|40183|8698199|26319|113290,not KI,,,
53,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-15,15,"Sep 2, 2011, 6:22pm",pwaites,<12 Thanks! I'll go and correct that.,,,not KI,,,
54,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-16,16,"Sep 2, 2011, 6:23pm",pwaites,12,,,not KI,,,
55,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-17,17,"Sep 2, 2011, 7:29pm",cosmicdolphin,They did a series of D&D tie in novels. Murder in Cormyr by Chet Williamson (Forgotten Realms) Murder in Halruaa by Richard Myers (Forgotten Realms) Murder in Tarsis by John Maddox Roberts (Dragonlance) Also there was a short story Anthology: Realms of Mystery edited by Philip Athanas (Forgotten Realms) also in the Warhammer Fantasy Universe: Zavant by Gordon Rennie (Although this may fall a bit on the Occulty Creature Fighting side) A Murder in Marienburg by David Bishop (Based around a Watch Station in the worst part of town) I'll add a recommendation for the Hawk and Fisher series by Simon R. Green (It's a bit shaky at the start though),,911316|836774|929898|62295|738534|3259372|3072704,not KI,,,
56,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-18,18,"Sep 2, 2011, 10:39pm",rshart3,"I'll strongly support the idea of the Lord Darcy books by Randall Garrett (he's a detective in an alternate world where the Plantagenets *did* conquer France & still rule both countries, and where magic works like a science) If you like Victorian-flavored stories, and don't mind a YA feeling, try Philip Pullman's series starting with The Ruby in the Smoke, featuring a plucky young woman probing her father's mysterious death (in the first book). And for Victorian atmosphere with a somewhat similar nature, but not fantasy either, you might step outside the genre with Fingersmith by Sarah Waters: a gothic-flavored tale of suspense & intrigue. It plays tricks with your mind. Although both are in the ""real world"", they seem far away, and should appeal to many fantasy readers who like some of the elements you listed. (One of the good ideas from the current library readers' advisory movement is to try books in a different genre but with similar ""appeal factors"".)",,12225|46549,not KI,,,
57,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-19,19,"Sep 2, 2011, 11:02pm",ppboys,"This message has been flagged by multiple users and is no longer displayed (show)Mens Nike Free Run+ 2 Blue Grey  Color: Blue Grey  Model: Mens Nike Free Run+ 2 Shoes  Status: In stock, usually ships in 24 hours.  Size: US 7, US 8, US 8.5, US 9.5, US 10  Promotion: Free Shipping For Two Pairs  Recommend Mens Nike Free Run+ 2 Shoes:  Mens Nike Free Run+ 2 Shoes Dark Blue Orange    After the shox series, air max style and the Jordan shoes, Nike continues to release Nike Free Run for the comprehensive consumers. The Mens Nike Free Run+ 2 has come to blend the dynamic flexibility of the ""Free"" line with Nike's own iPod-incorporated measurement and music system. The Mens Nike Free Run+ 2 Shoes Blue Grey a mesh upper with overlays offering support and stability, as well as that familiar Nike Free siped outsole. The shoe takes us Barefoot-like feel, shoe-like benefits Taking a cue from the intricate workings of the bare foot, this Blue Grey - Mens Nike Free Run+ 2 is designed to maximize the foot's natural range of motion while providing protection and cushioning for a smooth ride.",,,not KI,,,
58,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-20,20,"Sep 3, 2011, 8:49am",pwaites,Seeing above that my post still did not go completely through I'll try again. 13,,,not KI,,,
59,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-21,21,"Sep 3, 2011, 9:22am",EstelleChauvelin,"Although I adore Midnight Riot, I'd say it falls firmly in modern day Urban Fantasy detective stories with The Dresden Files, and therefore is not what the OP wants. I do highly recommend it to anybody who does like Dresden, though.",,10697148,not KI,,,
60,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-22,22,"Sep 5, 2011, 10:27pm",sandstone78,"17 reminded me, Robin Wayne Bailey also did a fantasy detective novel in the Greyhawk setting, Night Watch. I haven't read it, but when I saw it in the bookstore it wasn't even apparent to me that it was a tie-in.",baileyrobinwayne,308876,not KI,,,
61,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-23,23,"Sep 6, 2011, 12:49am",NorthernStar,"Dave Duncan has an excellent series that would fit the criteria, starting with The Alchemist's Apprentice set in a historical venice where at least some magic works.",duncandave,2293585,not KI,,,
62,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-24,24,"Sep 6, 2011, 8:35am",Octane,"Keith R. A. DeCandido's Dragon Precinct and the sequel Unicorn Precinct are both murder mysteries focussing on the guard of a fantasy city, involving all the usual fantasy tropes. I also second the recommendations for the Lord Darcy and the Garrett, P.I. books.",,427294|114455|471269,not KI,,,
63,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-25,25,"Sep 6, 2011, 4:45pm",Niko,"It took me a while to get back to this, and wow, thanks for all the suggestions, y'all! :) Lots of options to poke at. And yes, Ghosts in the Snow was the one I was trying to remember. I'm glad I asked, because my memory of the cover looked *nothing* like the actual cover, so I probably would never have clicked into it in my quest otherwise. :)",,61185,not KI,,,
64,123020,FantasyFans,"Secondary-World/Historical Fantasy with ""Mystery"" element",26,123020-26,26,"Sep 11, 2011, 11:55pm",beniowa,"Servant of the Underworld is a mystery, magical fantasy set in the world of the Aztecs circa 1480.",,9245253,not KI,,,
65,113809,Name that Book,"Multiracial adoption story, large family",5,113809-1,1,"Apr 8, 2011, 7:15pm",jehovahrapha,"I know it's a novel, and I think I read it about ten to twelve years ago. It was a book about a white couple who decided to adopt a child, then ended up adopting a double-digit number of them over the course of the book with no thought to nationality or special needs.  I remember some specific scenes. One had the couple so poor that they were forced to eat a five-to-ten year-old decorative can of rattlesnake meat, opening it from the bottom so that they could wash it out and continue to display it. Also, there was a scene later in the book in which one of the couple's black daughters begged her parents to wash her skin until it was white like theirs. My mother or grandmother gave this to me, so I'm pretty sure it was intended for young adult or adult audiences. It had chapters, so I'm pretty sure it wasn't a children's book or teen fiction. The edition I read was paperback, with a tan cover. On the cover was artwork depicting several people from the shoulders up- can't remember how many. It was a standard-sized paperback, maybe the width of an adult's index or middle finger.",,,,,,
66,113809,Name that Book,"Multiracial adoption story, large family",5,113809-2,2,"Apr 8, 2011, 9:55pm",SylviaC,That is The Family Nobody Wanted by Helen Doss. The rattlesnake meat incident is right near the beginning.,,43001,solved,Helen Doss: The Family Nobody Wanted,43001,
67,113809,Name that Book,"Multiracial adoption story, large family",5,113809-3,3,"Apr 8, 2011, 10:22pm",MerryMary,Sylvia is on the nose. Look at my copy for the cover you describe.,,,solved,,,
68,113809,Name that Book,"Multiracial adoption story, large family",5,113809-4,4,"Apr 25, 2011, 12:57pm",jehovahrapha,Got it! Thanks to Sylvia for the title and Mary for the confirmation!,,,confirmed,,,
69,113809,Name that Book,"Multiracial adoption story, large family",5,113809-5,5,"Sep 11, 2011, 3:07am",CoriSCapnSkip,It's worth noting this is not a novel but a true account of a real family.,,,,,,
70,52705,Name that Book,One French sentence written many different ways.,4,52705-1,1,"Dec 23, 2008, 11:07am",amaranthic,"Hello all, I'm looking for a book that is exactly what the title says. I want to get it as a present for a friend who lost it to a borrower. In his own words, it is ""a book originally in French that rendered the same sentence in about seventy five different forms emphasizing different dictional forms and figures of speech.""  Any help would be appreciated! Thank you and Happy Holidays.",,,,,,
71,52705,Name that Book,One French sentence written many different ways.,4,52705-2,2,"Dec 23, 2008, 11:22am",SJaneDoe,I'm pretty sure it's Raymond Queneau's Exercises in Style.,,39048,,,,
